code,region_code,en,ar
1,7,Tabuk,تبوك
2,7,Na'mi,نعمي
3,1,Riyadh,الرياض
4,7,Humayt,حميط
5,2,At Taif,الطائف
6,2,Makkah,مكة المكرمة
7,7,Rajm At Tayarah,رجم الطيارة
8,7,Ath Thumayd,الثميد
9,7,'Usaylah,عسيلة
10,8,Hail,حائل
11,4,Buraidah,بريدة
12,5,Al Hafuf,الهفوف
13,5,Dammam,الدمام
14,3,Madinah,المدينة المنورة
15,6,Abha,ابها
16,7,Halat Ammar,حالة عمار
17,10,Jazan,جازان
18,2,Jeddah,جدة
19,7,Ash Shayib,الشايب
20,7,Al Fawhah,الفوهة
21,7,Al Lawz,اللوز
22,7,'Ayn Al Akhdar,عين الأخضر
23,7,Dhat Al Hajj,ذات الحاج
24,1,Al Majma'ah,المجمعة
25,7,Qiyal,قيال
26,7,Al Akhdar,الاخضر
27,7,Al Badi'ah,البديعة
28,7,Mughayrah,مغيرة
29,7,Al Hawja',الهوجاء
30,7,Al Badi',البديع
31,5,Al Khobar,الخبر
32,7,Abar Qana,ابار قنا
33,7,Al Jab'awiyah,الجبعاوية
34,7,Al Humaydah,الحميضة
35,7,Al Bayyanah,البيانة
36,7,Haql,حقل
37,7,Ad Durrah,الدرة
38,7,Az Zaytah,الزيتة
39,7,'Alaqan,علقان
40,7,Al Wadi Al Jadid,الوادي الجديد
41,7,Mulayh,مليح
42,7,Abu Al Hinshan,ابو الحنشان
43,7,Maqna,مقنا
44,5,Abu Qa'ar,ابو قعر
45,5,Markaz Al 'Awja,مركز العوجاء
46,5,Markaz Al 'Ulayyimah,مركز العليمة
47,5,Hafar Al Batin,حفر الباطن
48,5,Al Qalt,القلت
49,5,An Nadhim,النظيم
50,5,Ibn Tuwalah,ابن طوالة
51,5,As Sidawi,الصداوي
52,5,Umm Qulaib,ام قليب
53,5,Urayfij,عريفج
54,5,Ibn Sharar,ابن شرار
55,5,Al Qaysumah,القيصومة
56,5,Ar Ruq'i Al Jadidah,الرقعي الجديدة
57,5,Dhabhah,ذبحة
58,5,As Sufairy,الصفيري
59,5,Al Wayliyah,الوايلية
60,5,Al Fiwan,الفيوان
61,5,Al Hamatiyat,الحماطيات
62,6,Khamis Mushayt,خميس مشيط
63,5,Al Jabu,الجبو
64,5,Al Masnah,المسناة
65,6,Ahad Rifaydah,احد رفيده
66,5,Umm Ishar Ash Sharqiyyah,ام عشر الشرقية
67,5,Al Qatif,القطيف
68,7,Buhan,بوهان
69,7,As Sananiyat,السنانيات
70,7,Hazaya,حزايا
71,7,Akbad,أكباد
72,7,Bir Al Hayz,بئر الحيز
73,7,Jurayda,جريداء
74,7,Tayma',تيماء
75,7,Al Assafiyah,العسافية
76,3,'Ardah,عردة
77,7,Al Kutaib,الكتيب
78,7,Bi'r Fajr,بئر فجر
79,7,Al Qalibah,القليبة
80,4,Unayzah,عنيزة
81,5,Ar Raf'iyah,الرافعية
