code,city_code,region_code,en,ar
10100003001,3,1,Al Amal Dist.,حي العمل
10100003002,3,1,Al Namudhajiyah Dist.,حي النموذجية
10100003003,3,1,Al Jarradiyah Dist.,حي الجرادية
10100003004,3,1,Al Sinaiyah Dist.,حي الصناعية
10100003005,3,1,Manfuha Al Jadidah Dist.,حي منفوحة الجديدة
10100003006,3,1,Al Fakhiriyah Dist.,حي الفاخرية
10100003007,3,1,Al Dirah Dist.,حي الديرة
10100003008,3,1,East Umm Al Hamam Dist.,حي ام الحمام الشرقي
10100003009,3,1,Al Sharafiyah Dist.,حي الشرفية
10100003010,3,1,Al Hada Dist.,حي الهدا
10100003011,3,1,North Mathar Dist.,حي المعذر الشمالي
10100003012,3,1,West Umm Al Hamam Dist.,حي ام الحمام الغربي
10100003013,3,1,Ar Rahmaniyah Dist.,حي الرحمانية
10100003014,3,1,Laban Dist.,حي لبن
10100003015,3,1,Ar Rafiah Dist.,حي الرفيعة
10100003016,3,1,Al Shohda Dist.,حي الشهداء
10100003017,3,1,King Fahd Dist.,حي الملك فهد
10100003018,3,1,Al Suwaidi Dist.,حي السويدي
10100003019,3,1,Al Hazm Dist.,حي الحزم
10100003020,3,1,Utayqah Dist.,حي عتيقة
10100003021,3,1,Al Murabba Dist.,حي المربع
10100003022,3,1,Al Falah Dist.,حي الفلاح
10100003023,3,1,Al Nada Dist.,حي الندى
10100003024,3,1,Al Mursalat Dist.,حي المرسلات
10100003025,3,1,Al Nuzha Dist.,حي النزهة
10100003026,3,1,Al Woroud Dist.,حي الورود
10100003027,3,1,King Faisal Dist.,حي الملك فيصل
10100003028,3,1,2nd Industrial City,المدينة الصناعية الثانية
10100003029,3,1,Al Aziziyah Dist.,حي العزيزية
10100003030,3,1,Al Mansurah Dist.,حي المنصورة
10100003031,3,1,Ghobairah Dist.,حي غبيرة
10100003032,3,1,Al Farooq Dist.,حي الفاروق
10100003033,3,1,Al Faisaliyah Dist.,حي الفيصلية
10100003034,3,1,Al Khalidiyah Dist.,حي الخالدية
10100003035,3,1,Al Jazeerah Dist.,حي الجزيرة
10100003036,3,1,Al Saadah Dist.,حي السعادة
10100003037,3,1,Al Nasiriyah Dist.,حي الناصرية
10100003038,3,1,Al Manakh Dist.,حي المناخ
10100003039,3,1,Al Difaa Dist.,حي الدفاع
10100003040,3,1,Al Noor Dist.,حي النور
10100003041,3,1,King Abdullah Dist.,حي الملك عبدالله
10100003042,3,1,Al Wahah Dist.,حي الواحة
10100003043,3,1,Salahuddin Dist.,حي صلاح الدين
10100003044,3,1,King Abdulaziz Dist.,حي الملك عبدالعزيز
10100003045,3,1,Al Wizarat Dist.,حي الوزارات
10100003046,3,1,Skirinah Dist.,حي سكيرينة
10100003047,3,1,Ar Rabwah Dist.,حي الربوة
10100003048,3,1,Jareer Dist.,حي جرير
10100003049,3,1,Al Mathar Dist.,حي المعذر
10100003050,3,1,As Salhiyah Dist.,حي الصالحية
10100003051,3,1,Al Malaz Dist.,حي الملز
10100003052,3,1,Manfuhah Dist.,حي منفوحة
10100003053,3,1,Olaishah Dist.,حي عليشة
10100003054,3,1,Al Nahdah Dist.,حي النهضة
10100003055,3,1,Al Khaleej Dist.,حي الخليج
10100003056,3,1,Al Dhubbat Dist.,حي الضباط
10100003057,3,1,West Suwaidi Dist.,حي السويدي الغربي
10100003058,3,1,Dirab Dist.,حي ديراب
10100003059,3,1,Ohod Dist.,حي احد
10100003060,3,1,Namar Dist.,حي نمار
10100003061,3,1,Al Shifa Dist.,حي الشفا
10100003062,3,1,Al Muhammadiyah Dist.,حي المحمدية
10100003063,3,1,Al Sulaimaniyah Dist.,حي السليمانية
10100003064,3,1,Al Marwah Dist.,حي المروة
10100003065,3,1,Okaz Dist.,حي عكاظ
10100003066,3,1,Shubra Dist.,حي شبرا
10100003067,3,1,Al Zahrah Dist.,حي الزهرة
10100003068,3,1,Siyah Dist.,حي صياح
10100003069,3,1,Sultanah Dist.,حي سلطانة
10100003070,3,1,Al Yamamah Dist.,حي اليمامة
10100003071,3,1,Al Badiah Dist.,حي البديعة
10100003072,3,1,Al Masani Dist.,حي المصانع
10100003073,3,1,Al Qadisiyah Dist.,حي القادسية
10100003074,3,1,Al Safa Dist.,حي الصفا
10100003075,3,1,Al Olaya Dist.,حي العليا
10100003076,3,1,Al Duraihemiyah Dist.,حي الدريهمية
10100003077,3,1,Al Iskan Dist.,حي الاسكان
10100003078,3,1,Al Salam Dist.,حي السلام
10100003079,3,1,Al Manar Dist.,حي المنار
10100003080,3,1,East Naseem Dist.,حي النسيم الشرقي
10100003081,3,1,Al Quds Dist.,حي القدس
10100003082,3,1,Al Wadi Dist.,حي الوادي
10100003083,3,1,Al Nafel Dist.,حي النفل
10100003084,3,1,Al Maseef Dist.,حي المصيف
10100003085,3,1,Al Taawun Dist.,حي التعاون
10100003086,3,1,Al Ezdihar Dist.,حي الازدهار
10100003087,3,1,Al Andalus Dist.,حي الاندلس
10100003088,3,1,Al Rawdah Dist.,حي الروضة
10100003089,3,1,Al Rawabi Dist.,حي الروابي
10100003090,3,1,Al Rayan Dist.,حي الريان
10100003091,3,1,Dhahrat Al Badeah Dist.,حي ظهرة البديعة
10100003092,3,1,Al Nadheem Dist.,حي النظيم
10100003093,3,1,Al Rimayah Dist.,حي الرماية
10100003094,3,1,Al Bariyah Dist.,حي البرية
10100003095,3,1,Taybah Dist.,حي طيبة
10100003096,3,1,Mansuriyah Dist.,حي المنصورية
10100003097,3,1,Dahiyat Namar Dist.,حي ضاحية نمار
10100003098,3,1,Al Misfat Dist.,حي المصفاة
10100003099,3,1,Assafarat Dist.,حي السفارات
10100003100,3,1,Khashm Al An,خشم العان
10100003101,3,1,Qurtubah Dist.,حي قرطبة
10100003102,3,1,Tuwaiq Dist.,حي طويق
10100003103,3,1,Al Awaly Dist.,حي العوالي
10100003104,3,1,Ar Rabie Dist.,حي الربيع
10100003105,3,1,Al Mughrazat Dist.,حي المغرزات
10100003106,3,1,Al Sulay Dist.,حي السلي
10100003107,3,1,Al Aqeeq Dist.,حي العقيق
10100003108,3,1,Al Nakheel Dist.,حي النخيل
10100003109,3,1,Al Ghadeer Dist.,حي الغدير
10100003110,3,1,Al Muruj Dist.,حي المروج
10100003111,3,1,Al Oud Dist.,حي العود
10100003112,3,1,Thulaim Dist.,حي ثليم
10100003113,3,1,Al Shumaisi Dist.,حي الشميسي
10100003114,3,1,Al Wisham Dist.,حي الوشام
10100003115,3,1,Salam Park,منتزه سلام
10100003116,3,1,Al Dubiyah Dist.,حي الدوبية
10100003117,3,1,Meakal Dist.,حي معكال
10100003118,3,1,Jabrah Dist.,حي جبرة
